model,experiment,region_name,horizon,n,MAE,RMSE,MASE,sMAPE,modell
naive,naive,Blekinge län,1,47.0,62.42553191489362,78.04036053440825,0.6166602940582749,30.55385058279872,Naive
naive,naive,Blekinge län,3,45.0,63.22222222222222,81.11624032488466,0.6245302675149756,29.120471007379255,Naive
naive,naive,Blekinge län,6,42.0,80.23809523809524,98.92445410032657,0.792618755281999,37.287535906943134,Naive
naive,naive,Dalarnas län,1,47.0,477.74468085106383,743.6938857787395,1.1768092923435522,26.574527814645943,Naive
naive,naive,Dalarnas län,3,45.0,869.7777777777778,1092.3913014829236,2.1424886810658355,49.58592988565341,Naive
naive,naive,Dalarnas län,6,42.0,890.9285714285714,1204.5956148177258,2.1945885819257565,51.04226285431969,Naive
naive,naive,Gotlands län,1,47.0,45.659574468085104,65.03583300356877,0.9911386657899267,45.030246698118084,Naive
naive,naive,Gotlands län,3,45.0,46.8,63.10132944540692,1.0158940397350993,47.59779313105866,Naive
naive,naive,Gotlands län,6,42.0,59.26190476190476,77.18052431367212,1.286406321174533,59.099193536715724,Naive
naive,naive,Gävleborgs län,1,47.0,597.2340425531914,1227.2070695238688,1.1419388958952035,27.876381274296524,Naive
naive,naive,Gävleborgs län,3,45.0,1252.0666666666666,2094.850167010095,2.3940089228808157,52.0509680184003,Naive
naive,naive,Gävleborgs län,6,42.0,1214.0,2284.63475251099,2.3212237093690247,48.06916000241457,Naive
naive,naive,Götaland,1,47.0,863.063829787234,1086.0142038959848,0.5769230398369277,18.75438360457044,Naive
naive,naive,Götaland,3,45.0,1077.2888888888888,1310.597590583946,0.7201237719735536,22.556852370501016,Naive
naive,naive,Götaland,6,42.0,1348.7857142857142,1554.7162273608158,0.901608348673548,27.923825226451214,Naive
naive,naive,Hallands län,1,47.0,71.93617021276596,90.04809589584937,0.5784699526445675,28.818759305487312,Naive
naive,naive,Hallands län,3,45.0,68.73333333333333,86.39071452161717,0.5527145518150016,26.824965710961703,Naive
naive,naive,Hallands län,6,42.0,98.0,115.2983706984374,0.788060515196947,38.212439232656706,Naive
naive,naive,Hela landet,1,47.0,3913.6170212765956,4749.960783712694,1.0593502881414119,19.388572889535233,Naive
naive,naive,Hela landet,3,45.0,4580.266666666666,5782.303055204062,1.2398011319756355,21.912707061664214,Naive
naive,naive,Hela landet,6,42.0,5490.785714285715,6561.335101145483,1.486263320332239,25.954127002679765,Naive
naive,naive,Jämtlands län,1,47.0,476.0851063829787,615.1976330087547,0.7864108090205427,20.434539101214938,Naive
naive,naive,Jämtlands län,3,45.0,590.0222222222222,769.4688644339896,0.9746153511145952,24.927804076571945,Naive
naive,naive,Jämtlands län,6,42.0,755.8333333333334,940.2240994267574,1.248506821957183,31.605818371199707,Naive
naive,naive,Jönköpings län,1,47.0,173.0212765957447,248.60564345454188,0.6933072072228292,27.483090520263566,Naive
naive,naive,Jönköpings län,3,45.0,191.77777777777777,272.42295546937055,0.7684656947085635,29.57596380373643,Naive
naive,naive,Jönköpings län,6,42.0,215.07142857142858,265.9452593154857,0.8618048278806226,33.856472601749154,Naive
naive,naive,Kalmar län,1,47.0,152.80851063829786,198.47246446027765,0.5401211435214218,22.598570809366546,Naive
naive,naive,Kalmar län,3,45.0,178.9777777777778,212.56821127450934,0.6326197513113401,25.694780076486484,Naive
naive,naive,Kalmar län,6,42.0,211.52380952380952,247.80387790501163,0.7476578457886869,30.017403372035368,Naive
naive,naive,Kronobergs län,1,47.0,124.40425531914893,166.188114381571,0.6087626328132858,25.641319019450105,Naive
naive,naive,Kronobergs län,3,45.0,132.75555555555556,176.81214136289773,0.6496290767004875,27.420136765153774,Naive
naive,naive,Kronobergs län,6,42.0,147.0952380952381,189.92667758148895,0.7197992077315292,29.417190521812252,Naive
naive,naive,Norra Norrland,1,47.0,1343.063829787234,1710.999048708342,1.1836814560970577,28.845990223776347,Naive
naive,naive,Norra Norrland,3,45.0,1694.6444444444444,2143.2268143567485,1.4935397403149215,35.63219117225546,Naive
